user_id,message,timestamp,label
user_001,Why is my order taking so long? I ordered it 2 weeks ago.,2024-01-15T10:33:00Z,complaint
user_89666,Do you have this item in a different size,2024-01-01T08:02:00Z,inquiry
user_70427,Your Service Is Outstanding,2024-01-01T08:04:00Z,praise
user_02403,can i return an item that was damaged in shipping,2024-01-01T08:12:00Z,inquiry
user_00824,I AM EXTREMELY UNSATISFIED WITH MY PURCHASE.,2024-01-01T08:04:00Z,complaint
user_87080,What is the warranty on this item?,2024-01-01T08:05:00Z,inquiry
user_29140,amazing quality and fast shipping.,2024-01-01T08:24:00Z,praise
user_63975,Do You Have This Item In A Different Size!,2024-01-01T08:21:00Z,inquiry
user_78898,I Am Extremely Unsatisfied With My Purchase!,2024-01-01T08:40:00Z,complaint
user_08844,My order is taking forever. I ordered it a week ago.,2024-01-01T08:45:00Z,complaint
user_10627,Fantastic service! Would definitely recommend,2024-01-01T08:30:00Z,praise
user_23983,How Can I Track My Shipment,2024-01-01T08:44:00Z,inquiry
user_12961,do you have this item in a different size!,2024-01-01T08:12:00Z,inquiry
user_22912,amazing quality and fast shipping,2024-01-01T08:13:00Z,praise
user_93848,Your service is outstanding?,2024-01-01T08:56:00Z,praise
user_33115,Incredibly disappointed with the quality,2024-01-01T09:15:00Z,complaint
user_28025,why is my order taking so long? i ordered it 3 weeks ago.,2024-01-01T08:32:00Z,complaint
user_84433,Can I get a replacement for the defective unit?,2024-01-01T08:34:00Z,inquiry
user_22689,Just Wanted To Say Thank You For The Great Experience.,2024-01-01T08:54:00Z,praise
user_13746,ABSOLUTELY LOVE EVERYTHING ABOUT THIS COMPANY,2024-01-01T08:38:00Z,praise
user_020,My order is taking forever. I ordered it 2 weeks ago.,2024-01-15T16:12:00Z,complaint
user_03375,LOVE THIS PRODUCT! BEST PURCHASE EVER,2024-01-01T08:21:00Z,praise
user_02942,Horrible Experience From Start To Finish,2024-01-01T09:28:00Z,complaint
user_04693,How Long Does Shipping Usually Take!,2024-01-01T09:32:00Z,inquiry
user_87002,just wanted to say thank you for the great experience?,2024-01-01T08:24:00Z,praise
user_06554,Love This Product! Best Purchase Ever.,2024-01-01T10:05:00Z,praise
user_22915,why is my order taking so long? i ordered it 2 weeks ago,2024-01-01T08:26:00Z,complaint
user_65557,your customer service is absolutely terrible?,2024-01-01T08:54:00Z,complaint
user_77469,Best company ever. Highly recommended!,2024-01-01T10:20:00Z,praise
user_99870,YOUR SERVICE IS OUTSTANDING,2024-01-01T09:27:00Z,praise
user_95328,incredibly disappointed with the quality?,2024-01-01T10:00:00Z,complaint
user_32212,This is the worst product I have ever purchased?,2024-01-01T08:31:00Z,complaint
user_11673,love this product! best purchase ever!,2024-01-01T09:04:00Z,praise
user_94988,This is exactly what I wanted. Five stars?,2024-01-01T10:12:00Z,praise
